Legajo,Date,Cantidad Llamadas,Tiempo InCall (min),Tiempo en espera (min),Cantidad Llamadas Transferidas,Tiempo Loggeado (min),Tiempo Ready for Call (min),Tiempo en after call work (min)
1,01/11/2010,20,218,12,4,342,52,60
2,01/11/2010,25,235,7,3,360,47,71
3,01/11/2010,70,260,4,2,353,22,67
4,01/11/2010,52,284,2,0,371,35,50
5,19/10/2010,50,262,4,3,325,23,36
7,01/11/2010,70,215,27,3,372,60,70
8,01/11/2010,50,210,8,1,328,40,70
9,01/11/2010,56,284,5,3,369,24,56
10,01/11/2010,49,290,4,3,357,23,40
11,19/10/2010,40,246,10,0,327,35,36
