Legajo,Date,Cantidad Llamadas,Tiempo InCall (min),Tiempo en espera (min),Cantidad Llamadas Transferidas,Tiempo Loggeado (min),Tiempo Ready for Call (min),Tiempo en after call work (min)
1,05/11/2010,20,215,10,4,335,50,60
2,05/11/2010,25,235,7,3,360,47,71
3,05/11/2010,70,260,4,2,353,22,67
4,05/11/2010,52,284,6,0,375,35,50
5,05/11/2010,52,254,8,1,310,18,30
7,05/11/2010,73,200,22,3,355,60,70
8,05/11/2010,50,210,8,1,328,40,70
9,05/11/2010,56,284,5,3,369,24,56
10,05/11/2010,49,288,4,3,348,21,35
11,05/11/2010,59,244,6,0,328,28,50
